file,n_rows,t0_ms,t1_ms
Subj_05_MMH_Bim_R_12kg_Trial_2_EMG_data.csv,33750,1600784885080.0,1600784968241.29
Subj_05_MMH_Bim_R_12kg_Trial_3_EMG_data.csv,35400,1600784986510.0,1600785073771.65
Subj_05_MMH_One_L_02kg_Trial_1_EMG_data.csv,34200,1600785817270.0,1600785895536.95
Subj_05_MMH_One_L_02kg_Trial_2_EMG_data.csv,35700,1600785942034.0,1600786026235.18
Subj_05_MMH_One_L_02kg_Trial_3_EMG_data.csv,27539,1600786088155.0,1600786149362.51
Subj_05_MMH_One_L_04kg_Trial_1_EMG_data.csv,38250,1600786891351.0,1600786975739.72
Subj_05_MMH_One_L_04kg_Trial_2_EMG_data.csv,36900,1600786992364.0,1600787074143.57
Subj_05_MMH_One_L_04kg_Trial_3_EMG_data.csv,34950,1600787114138.0,1600787192423.42
Subj_05_MMH_One_R_02kg_Trial_1_EMG_data.csv,39900,1600785449742.0,1600785540225.84
Subj_05_MMH_One_R_02kg_Trial_2_EMG_data.csv,35850,1600785571018.0,1600785651555.72
Subj_05_MMH_One_R_02kg_Trial_3_EMG_data.csv,37050,1600785665501.0,1600785751719.52
Subj_05_MMH_One_R_04kg_Trial_1_EMG_data.csv,37800,1600786597877.0,1600786679759.45
Subj_05_MMH_One_R_04kg_Trial_2_EMG_data.csv,37950,1600786693396.0,1600786774065.42
Subj_05_MMH_One_R_04kg_Trial_3_EMG_data.csv,40150,1600786789480.0,1600786875786.63
Subj_05_MVC_All_L_EMG_data.csv,25650,1600789018077.0,1600789085831.44
Subj_05_MVC_All_R_EMG_data.csv,24750,1600789020675.0,1600789088172.82
Subj_06_Isokin_L_02kg_40bpm_EMG_data.csv,36000,1596540407976.0,1596540477003.38
Subj_06_Isokin_L_02kg_60bpm_EMG_data.csv,31500,1596540492214.0,1596540553058.75
Subj_06_Isokin_L_02kg_80bpm_EMG_data.csv,31350,1596540572963.0,1596540632875.1
Subj_06_Isokin_L_02kg_St_EMG_data.csv,18900,1596540352441.0,1596540389039.36
Subj_06_Isokin_L_04kg_40bpm_EMG_data.csv,35250,1596541205208.0,1596541273330.82
Subj_06_Isokin_L_04kg_60bpm_EMG_data.csv,32250,1596541299910.0,1596541362376.69
